season,date,home_team,away_team,home_score,away_score,Tries_home,Tries_away,Conversions_home,Conversions_away,Penalties_home,Penalties_away,Drops_home,Drops_away
2025-2026,04.10.2025,Exeter Chiefs,Newcastle Red Bulls,38,15,6,2,4,1,0,1,0,0
2025-2026,04.10.2025,Leicester Tigers,Harlequins,29,19,4,1,3,1,1,4,0,0
2025-2026,04.10.2025,Saracens,Bristol Bears,50,17,7,3,6,1,1,0,0,0
2025-2026,05.10.2025,Gloucester Rugby,Northampton Saints,35,37,5,4,5,4,0,3,0,0
2025-2026,10.10.2025,Sale Sharks,Newcastle Red Bulls,57,5,9,1,6,0,0,0,0,0
2025-2026,11.10.2025,Bristol Bears,Exeter Chiefs,18,14,2,2,1,2,2,0,0,0
2025-2026,11.10.2025,Northampton Saints,Leicester Tigers,32,26,5,2,2,2,1,4,0,0
2025-2026,11.10.2025,Bath Rugby,Gloucester Rugby,38,17,5,3,5,1,1,0,0,0
2025-2026,12.10.2025,Harlequins,Saracens,20,14,2,2,2,2,2,0,0,0
2025-2026,17.10.2025,Gloucester Rugby,Bristol Bears,34,49,5,7,3,7,1,0,0,0
2025-2026,17.10.2025,Newcastle Red Bulls,Northampton Saints,19,36,3,5,2,4,0,1,0,0
2025-2026,18.10.2025,Leicester Tigers,Bath Rugby,22,20,3,3,2,1,1,1,0,0
2025-2026,18.10.2025,Saracens,Sale Sharks,65,14,9,2,5,2,1,0,0,0
2025-2026,19.10.2025,Exeter Chiefs,Harlequins,38,0,5,0,5,0,1,0,0,0
2025-2026,24.10.2025,Northampton Saints,Saracens,43,31,7,5,4,3,0,0,0,0
2025-2026,25.10.2025,Exeter Chiefs,Gloucester Rugby,39,12,5,2,4,1,2,0,0,0
2025-2026,25.10.2025,Harlequins,Newcastle Red Bulls,52,14,8,2,6,2,0,0,0,0
2025-2026,25.10.2025,Bath Rugby,Bristol Bears,40,15,6,2,5,1,0,1,0,0
2025-2026,25.10.2025,Leicester Tigers,Sale Sharks,36,35,5,5,4,5,1,0,0,0
2025-2026,28.11.2025,Newcastle Red Bulls,Leicester Tigers,17,39,2,5,2,4,1,2,0,0
2025-2026,28.11.2025,Sale Sharks,Exeter Chiefs,26,27,2,3,2,3,4,2,0,0
2025-2026,29.11.2025,Gloucester Rugby,Harlequins,26,15,4,2,3,1,0,1,0,0
2025-2026,29.11.2025,Bristol Bears,Northampton Saints,46,12,6,2,5,1,2,0,0,0
2025-2026,30.11.2025,Saracens,Bath Rugby,29,36,4,5,3,4,0,1,1,0
2025-2026,19.12.2025,Leicester Tigers,Gloucester Rugby,45,14,6,2,4,2,0,0,0,0
2025-2026,20.12.2025,Northampton Saints,Sale Sharks,47,21,7,3,6,3,0,0,0,0
2025-2026,20.12.2025,Saracens,Exeter Chiefs,24,30,3,4,1,2,0,2,0,0
2025-2026,20.12.2025,Harlequins,Bristol Bears,14,40,2,6,2,5,0,0,0,0
2025-2026,21.12.2025,Newcastle Red Bulls,Bath Rugby,14,50,2,8,2,5,0,0,0,0
2025-2026,26.12.2025,Sale Sharks,Harlequins,43,17,7,2,4,2,0,1,0,0
2025-2026,27.12.2025,Bristol Bears,Newcastle Red Bulls,36,27,6,4,3,2,0,1,0,0
2025-2026,27.12.2025,Gloucester Rugby,Saracens,21,30,3,4,3,2,0,2,0,0
2025-2026,27.12.2025,Bath Rugby,Northampton Saints,21,41,3,6,3,4,0,1,0,0
2025-2026,28.12.2025,Exeter Chiefs,Leicester Tigers,24,10,3,1,3,1,1,1,0,0
2025-2026,02.01.2026,Bristol Bears,Sale Sharks,19,17,3,2,2,2,0,1,0,0
2025-2026,02.01.2026,Newcastle Red Bulls,Gloucester Rugby,25,19,3,3,2,2,2,0,0,0
2025-2026,03.01.2026,Bath Rugby,Exeter Chiefs,33,26,5,4,4,3,0,0,0,0
2025-2026,03.01.2026,Northampton Saints,Harlequins,66,21,10,3,8,3,0,0,0,0
2025-2026,04.01.2026,Leicester Tigers,Saracens,36,28,5,4,4,4,1,0,0,0
