"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
169;"Julio Enciso";"Brighton,Ipswich";25;1168;2;3;2.74;2.23;0.21;0.17
170;"Carlos Alcaraz";"Everton,Southampton";16;753;2;3;1.66;2.29;0.2;0.27
171;"Yasin Ayari";"Brighton";34;1977;2;1;2.23;3.11;0.1;0.14
172;"Nico O&#039;Reilly";"Manchester City";9;526;2;0;1.1;0.26;0.19;0.04
173;"Milos Kerkez";"Bournemouth";38;3359;2;5;0.74;4.91;0.02;0.13
174;"Simon Adingra";"Brighton";29;1081;2;2;3.14;2.07;0.26;0.17
175;"Jake O&#039;Brien";"Everton";20;1561;2;0;1.22;0.67;0.07;0.04
176;"Murillo";"Nottingham Forest";36;3199;2;0;1.95;1.39;0.05;0.04
177;"Rodrigo Gomes";"Wolverhampton Wanderers";25;756;2;0;0.68;0.98;0.08;0.12
178;"Mateus Fernandes";"Southampton";36;2964;2;4;5.01;3.85;0.15;0.12
179;"Bilal El Khannouss";"Leicester";32;2242;2;3;1.44;4.91;0.06;0.2
180;"Matt O&#039;Riley";"Brighton";21;934;2;2;3.06;2.41;0.29;0.23
181;"Ilkay Gündogan";"Manchester City";33;2231;1;6;3.43;3.67;0.14;0.15
182;"Michail Antonio";"West Ham";14;859;1;1;2.99;1.6;0.31;0.17
183;"Ashley Young";"Everton";32;1824;1;3;0.25;2.94;0.01;0.14
184;"Christian Eriksen";"Manchester United";23;1043;1;2;1.33;3.24;0.11;0.28
185;"Jack Grealish";"Manchester City";20;689;1;1;1.27;1.92;0.17;0.25
186;"Ben Chilwell";"Crystal Palace";8;239;1;0;0.26;0.9;0.1;0.34
187;"James Ward-Prowse";"Nottingham Forest,West Ham";24;1449;1;2;1.29;3.26;0.08;0.2
188;"Danny Ings";"West Ham";15;235;1;2;1.77;1.15;0.68;0.44
189;"Mario Lemina";"Wolverhampton Wanderers";17;1366;1;3;1.19;1.29;0.08;0.08
190;"James Tarkowski";"Everton";33;2926;1;1;1.27;2.8;0.04;0.09
191;"Harry Maguire";"Manchester United";27;1752;1;0;2.34;0.93;0.12;0.05
192;"Jack Stephens";"Southampton";19;1418;1;0;0.67;0.29;0.04;0.02
193;"Lewis Cook";"Bournemouth";36;2978;1;3;0.96;4.59;0.03;0.14
194;"Casemiro";"Manchester United";24;1519;1;0;1.94;2.17;0.11;0.13
195;"Carlos Soler";"West Ham";31;1422;1;1;2.29;1.09;0.15;0.07
196;"Estupiñán";"Brighton";30;2404;1;1;1.32;2.32;0.05;0.09
197;"Leon Bailey";"Aston Villa";24;1152;1;2;2.87;2.37;0.22;0.19
198;"Tosin Adarabioyo";"Chelsea";22;1410;1;1;1.19;0.33;0.08;0.02
199;"Boubacar Kamara";"Aston Villa";26;1744;1;0;0.79;0.9;0.04;0.05
200;"Orel Mangala";"Everton";19;1254;1;0;0.71;0.49;0.05;0.04
201;"Ibrahima Konaté";"Liverpool";31;2578;1;2;1.86;1.03;0.06;0.04
202;"Ben Johnson";"Ipswich";23;1327;1;2;1.46;2.17;0.1;0.15
203;"Reiss Nelson";"Arsenal,Fulham";12;491;1;1;1.42;1.13;0.26;0.21
204;"Bobby Reid";"Leicester";23;729;1;2;0.67;1.09;0.08;0.14
205;"Conor Coady";"Leicester";22;1710;1;0;0.64;0.07;0.03;0
206;"Axel Disasi";"Aston Villa,Chelsea";13;844;1;0;0.62;0.34;0.07;0.04
207;"Cristian Romero";"Tottenham";18;1426;1;0;1.91;0.63;0.12;0.04
208;"Caleb Okoli";"Leicester";19;1113;1;0;0.87;0;0.07;0
209;"Dan Burn";"Newcastle United";37;3330;1;1;2.57;1.16;0.07;0.03
210;"Harvey Elliott";"Liverpool";18;320;1;2;1.67;1.28;0.47;0.36
211;"John McGinn";"Aston Villa";34;2247;1;4;3.79;3.48;0.15;0.14
212;"Mason Mount";"Manchester United";17;626;1;0;2.94;0.34;0.42;0.05
213;"Taiwo Awoniyi";"Nottingham Forest";26;363;1;0;2.42;0.09;0.6;0.02
214;"João Félix";"Chelsea";12;343;1;1;2.65;0.68;0.69;0.18
215;"Reece James";"Chelsea";19;1062;1;1;0.58;1.32;0.05;0.11
216;"Kieran Tierney";"Arsenal";13;227;1;0;0.92;1.2;0.37;0.48
217;"Neco Williams";"Nottingham Forest";35;2579;1;3;3;1.7;0.1;0.06
218;"William Smallbone";"Southampton";18;657;1;0;0.69;0.59;0.09;0.08
219;"Chris Richards";"Crystal Palace";24;1925;1;0;1.7;0.11;0.08;0.01
220;"Taylor Harwood-Bellis";"Southampton";34;2832;1;0;2.2;1.99;0.07;0.06
221;"Wout Faes";"Leicester";34;2799;1;0;1.56;0.17;0.05;0.01
222;"Jack Harrison";"Everton";34;2102;1;0;3.38;3.65;0.14;0.16
223;"Maxence Lacroix";"Crystal Palace";35;3126;1;1;2.75;1.69;0.08;0.05
224;"Matthew Cash";"Aston Villa";27;2085;1;1;0.5;1.49;0.02;0.06
225;"Leif Davis";"Ipswich";33;2760;1;2;0.8;6.06;0.03;0.2
226;"Jacob Ramsey";"Aston Villa";29;1665;1;3;1.45;2.89;0.08;0.16
227;"Chimuanya Ugochukwu";"Southampton";26;1689;1;1;0.82;0.97;0.04;0.05
228;"Moisés Caicedo";"Chelsea";38;3381;1;2;0.69;2.92;0.02;0.08
229;"Crysencio Summerville";"West Ham";19;760;1;1;1.81;2.16;0.21;0.26
230;"Daniel Jebbison";"Bournemouth";16;62;1;0;1.73;0.21;2.51;0.3
231;"William Osula";"Newcastle United";14;107;1;0;0.28;0.13;0.24;0.11
232;"Kamaldeen Sulemana";"Southampton";26;1405;1;1;1.56;1.26;0.1;0.08
233;"Vitaly Janelt";"Brentford";32;2303;1;3;0.95;2.36;0.04;0.09
234;"Patson Daka";"Leicester";23;686;1;0;1.77;0.03;0.23;0
235;"Nico González";"Manchester City";11;767;1;0;0.82;0.08;0.1;0.01
236;"Jakub Kiwior";"Arsenal";17;1102;1;0;0.21;0.51;0.02;0.04
