"date","season","matchday","goalkeeper","penaltytaker","homegame","result","minute","goaldiff","gkclub","ptclub","gkage","ptage","gkexp","ptexp"
2011-10-22,"11/12",10,"Stephan, Alexander","Kuzmanovic, Zdravko",2,"Tor",61,1,"1.FC Nürnberg","VfB Stuttgart",25,24,2,6
2011-10-22,"11/12",10,"Baumann, Oliver","Tiffert, Christian",1,"gehalten",77,-1,"SC Freiburg","1.FC Kaiserslautern",21,29,2,11
2011-10-23,"11/12",10,"Neuer, Manuel","Abdellaoue, Mohammed",1,"Tor",23,0,"FC Bayern München","Hannover 96",25,26,5,4
2011-10-29,"11/12",11,"Starke, Tom","Huntelaar, Klaas-Jan",1,"Tor",73,0,"TSG 1899 Hoffenheim","FC Schalke 04",30,28,8,9
2011-10-29,"11/12",11,"Benaglio, Diego","Kobiashvili, Levan",2,"Tor",37,0,"VfL Wolfsburg","Hertha BSC",28,34,6,13
2011-10-30,"11/12",11,"Jentzsch, Simon","Podolski, Lukas",1,"Tor",24,-1,"FC Augsburg","1.FC Köln",35,26,14,8
2011-11-04,"11/12",12,"Wetklo, Christian","Ivanschitz, Andreas",2,"Tor",60,0,"VfB Stuttgart","1.FSV Mainz 05",31,28,7,12
2011-11-05,"11/12",12,"Rensing, Michael","Pizarro, Claudio",1,"Tor",54,1,"1.FC Köln","SV Werder Bremen",27,33,8,12
2011-11-05,"11/12",12,"Stephan, Alexander","Cissé, Papiss Demba",2,"Tor",90,0,"1.FC Nürnberg","SC Freiburg",25,26,2,6
2011-11-26,"11/12",14,"Leno, Bernd","Kobiashvili, Levan",2,"gehalten",5,0,"Bayer 04 Leverkusen","Hertha BSC",19,34,0,13
2011-12-03,"11/12",15,"Mielitz, Sebastian","Robben, Arjen",1,"Tor",69,0,"SV Werder Bremen","FC Bayern München",22,27,2,11
2011-12-03,"11/12",15,"Mielitz, Sebastian","Robben, Arjen",1,"Tor",83,-2,"SV Werder Bremen","FC Bayern München",22,27,2,11
2011-12-03,"11/12",15,"Benaglio, Diego","Ivanschitz, Andreas",2,"Tor",70,2,"VfL Wolfsburg","1.FSV Mainz 05",28,28,6,12
2011-12-03,"11/12",15,"Ulreich, Sven","Podolski, Lukas",2,"Tor",15,0,"VfB Stuttgart","1.FC Köln",23,26,4,8
2012-01-22,"11/12",18,"Drobny, Jaroslav","Blaszczykowski, Jakub",2,"Tor",76,-3,"Hamburger SV","Borussia Dortmund",32,26,10,7
2012-01-28,"11/12",19,"Rensing, Michael","Huntelaar, Klaas-Jan",2,"Tor",78,-1,"1.FC Köln","FC Schalke 04",27,28,8,9
2012-01-29,"11/12",19,"Baumann, Oliver","Polanski, Eugen",1,"Tor",6,-1,"SC Freiburg","1.FSV Mainz 05",21,25,2,7
2012-02-04,"11/12",20,"Ulreich, Sven","Rolfes, Simon",1,"Tor",47,0,"VfB Stuttgart","Bayer 04 Leverkusen",23,30,4,6
2012-02-04,"11/12",20,"Jentzsch, Simon","Salihovic, Sejad",1,"Tor",51,0,"FC Augsburg","TSG 1899 Hoffenheim",35,27,14,7
2012-02-19,"11/12",22,"Benaglio, Diego","Huntelaar, Klaas-Jan",1,"gehalten",36,-2,"VfL Wolfsburg","FC Schalke 04",28,28,6,9
2012-02-25,"11/12",23,"Starke, Tom","Helmes, Patrick",1,"Tor",69,1,"TSG 1899 Hoffenheim","VfL Wolfsburg",31,28,8,6
2012-03-03,"11/12",24,"Hildebrand, Timo","Caligiuri, Daniel",1,"Tor",66,-1,"FC Schalke 04","SC Freiburg",33,24,11,2
2012-03-03,"11/12",24,"Drobny, Jaroslav","Kuzmanovic, Zdravko",2,"Tor",31,-1,"Hamburger SV","VfB Stuttgart",32,24,10,6
2012-03-03,"11/12",24,"Drobny, Jaroslav","Kuzmanovic, Zdravko",2,"Tor",47,-2,"Hamburger SV","VfB Stuttgart",32,24,10,6
2012-03-03,"11/12",24,"Zieler, Ron-Robert","Callsen-Bracker, Jan-Ingwer",2,"Tor",89,1,"Hannover 96","FC Augsburg",23,27,1,8
2012-03-10,"11/12",25,"Starke, Tom","Robben, Arjen",2,"Tor",12,-1,"TSG 1899 Hoffenheim","FC Bayern München",31,28,8,11
2012-03-11,"11/12",25,"Drobny, Jaroslav","Huntelaar, Klaas-Jan",1,"Tor",33,-2,"Hamburger SV","FC Schalke 04",32,28,10,9
2012-03-16,"11/12",26,"Ulreich, Sven","Salihovic, Sejad",1,"Tor",74,2,"VfB Stuttgart","TSG 1899 Hoffenheim",23,27,4,7
2012-03-17,"11/12",26,"Kraft2, Thomas","Robben, Arjen",2,"Tor",19,-1,"Hertha BSC","FC Bayern München",23,28,1,11
2012-03-17,"11/12",26,"Burchert, Sascha","Gomez, Mario",2,"Tor",50,-3,"Hertha BSC","FC Bayern München",22,26,2,8
2012-03-17,"11/12",26,"Burchert, Sascha","Robben, Arjen",2,"Tor",67,-5,"Hertha BSC","FC Bayern München",22,28,2,11
2012-03-18,"11/12",26,"Rensing, Michael","Schlaudraff, Jan",1,"Tor",61,0,"1.FC Köln","Hannover 96",27,28,8,9
2012-03-31,"11/12",28,"Jentzsch, Simon","Podolski, Lukas",2,"Tor",42,1,"FC Augsburg","1.FC Köln",36,26,14,8
2012-03-31,"11/12",28,"Rensing, Michael","Rafael, Nando",1,"Tor",45,0,"1.FC Köln","FC Augsburg",27,28,8,9
2012-04-01,"11/12",28,"Unnerstall, Lars","Salihovic, Sejad",1,"Tor",30,0,"FC Schalke 04","TSG 1899 Hoffenheim",21,27,0,7
2012-04-01,"11/12",28,"Starke, Tom","Huntelaar, Klaas-Jan",2,"Tor",80,1,"TSG 1899 Hoffenheim","FC Schalke 04",31,28,8,9
2012-04-07,"11/12",29,"Ulreich, Sven","Ivanschitz, Andreas",2,"Tor",3,0,"VfB Stuttgart","1.FSV Mainz 05",23,28,4,12
2012-04-07,"11/12",29,"Wetklo, Christian","Kuzmanovic, Zdravko",1,"Tor",65,-1,"1.FSV Mainz 05","VfB Stuttgart",32,24,7,6
2012-04-07,"11/12",29,"Schäfer1, Raphael","Caligiuri, Daniel",1,"Tor",53,2,"1.FC Nürnberg","SC Freiburg",33,24,10,2
2012-04-07,"11/12",29,"Sippel, Tobias","Salihovic, Sejad",2,"Tor",26,0,"1.FC Kaiserslautern","TSG 1899 Hoffenheim",24,27,1,7
2012-04-08,"11/12",29,"Leno, Bernd","Petric, Mladen",1,"Tor",40,0,"Bayer 04 Leverkusen","Hamburger SV",20,31,0,10
2012-04-10,"11/12",30,"Ulreich, Sven","Rafael, Nando",1,"Tor",5,0,"VfB Stuttgart","FC Augsburg",23,28,4,9
2012-04-10,"11/12",30,"Rensing, Michael","Polanski, Eugen",1,"Tor",19,0,"1.FC Köln","1.FSV Mainz 05",28,26,8,7
2012-04-11,"11/12",30,"Weidenfeller, Roman","Robben, Arjen",2,"gehalten",86,1,"Borussia Dortmund","FC Bayern München",31,28,11,11
2012-04-11,"11/12",30,"Unnerstall, Lars","Simons, Timmy",1,"Tor",37,-1,"FC Schalke 04","1.FC Nürnberg",21,35,0,11
2012-04-11,"11/12",30,"Drobny, Jaroslav","Salihovic, Sejad",1,"Tor",25,-1,"Hamburger SV","TSG 1899 Hoffenheim",32,27,10,7
2012-04-14,"11/12",31,"Kraft2, Thomas","Rolfes, Simon",1,"gehalten",66,-1,"Hertha BSC","Bayer 04 Leverkusen",23,30,1,6
2012-04-21,"11/12",32,"Leno, Bernd","Salihovic, Sejad",1,"gehalten",86,1,"Bayer 04 Leverkusen","TSG 1899 Hoffenheim",20,27,0,7
2012-05-05,"11/12",34,"Unnerstall, Lars","Pizarro, Claudio",1,"Tor",42,1,"FC Schalke 04","SV Werder Bremen",21,33,0,12
2012-08-25,"12/13",1,"Baumann, Oliver","Ivanschitz, Andreas",2,"Tor",65,1,"SC Freiburg","1.FSV Mainz 05",22,28,3,13
2012-08-25,"12/13",1,"Benaglio, Diego","Ibisevic, Vedad",1,"gehalten",88,0,"VfL Wolfsburg","VfB Stuttgart",29,28,7,8
